Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-06-03,93.5,93.5,95.5,91.2,94.0,98002
2020-06-04,91.0,91.0,93.0,86.8,92.5,119601
2020-06-05,83.0,83.0,91.0,82.2,91.0,231032
2020-06-08,79.1,79.1,83.4,79.0,83.4,188431
2020-06-09,84.7,84.7,87.1,76.9,78.0,208744
2020-06-10,90.5,90.5,90.5,84.1,88.0,171534
2020-06-11,93.8,93.8,94.5,89.0,89.7,159328
2020-06-12,90.3,90.3,93.1,90.3,92.6,100897
2020-06-15,95.8,95.8,95.8,88.4,90.6,132344
2020-06-16,94.0,94.0,97.6,92.9,96.2,93383
2020-06-17,92.5,92.5,96.3,92.5,94.5,62164
2020-06-18,95.0,95.0,96.7,92.1,92.3,138528
2020-06-19,99.2,99.2,99.2,95.3,95.5,73837
2020-06-22,101.8,101.8,102.2,97.9,98.6,91678
2020-06-23,104.4,104.4,104.4,100.2,101.8,66912
2020-06-24,103.6,103.6,107.0,101.8,103.8,95466
2020-06-25,109.6,109.6,109.6,101.0,103.0,89282
2020-06-26,104.0,104.0,115.0,102.2,109.6,196609
2020-06-29,99.8,99.8,106.4,99.8,104.4,107052
2020-06-30,106.4,106.4,108.6,99.9,100.6,128666
2020-07-01,106.8,106.8,109.8,104.8,108.6,61876
2020-07-02,110.6,110.6,110.6,103.6,107.0,76924
2020-07-03,116.4,116.4,118.0,110.4,110.4,174916
2020-07-06,126.4,126.4,126.8,119.4,120.6,169722
2020-07-07,123.2,123.2,134.4,120.6,131.0,245389
2020-07-08,125.0,125.0,126.4,122.0,124.6,72360
2020-07-09,120.0,120.0,126.0,115.4,125.0,159181
2020-07-10,121.6,121.6,124.2,118.8,119.6,83669
2020-07-13,128.8,128.8,128.8,120.6,123.2,95235
2020-07-14,121.0,121.0,127.8,120.8,126.6,82305
2020-07-15,120.6,120.6,126.0,119.8,122.8,92225
2020-07-16,120.8,120.8,122.8,119.2,121.2,45221
2020-07-17,128.8,128.8,129.0,121.0,121.2,86494
2020-07-20,135.0,135.0,135.6,129.0,129.6,136542
2020-07-21,134.0,134.0,139.8,134.0,137.2,104561
2020-07-22,139.2,139.2,141.0,133.2,135.0,53517
2020-07-23,145.0,145.0,145.6,139.4,141.4,104392
2020-07-24,135.6,135.6,147.2,131.0,147.0,185443
2020-07-27,138.0,138.0,140.0,132.4,137.6,97010
2020-07-28,142.2,142.2,143.6,139.2,139.2,72628
2020-07-29,132.8,132.8,143.0,132.6,142.6,102297
2020-07-30,123.4,123.4,135.2,122.2,133.6,167893
2020-07-31,127.2,127.2,129.0,124.2,124.4,99634
2020-08-03,138.2,138.2,138.2,127.6,127.8,79050
2020-08-04,132.6,132.6,139.8,131.2,139.6,82264
2020-08-05,131.0,131.0,134.2,128.0,132.8,78878
2020-08-06,138.0,138.0,138.8,131.2,136.2,118219
2020-08-07,141.0,141.0,141.0,136.0,137.0,74251
2020-08-10,136.2,136.2,140.8,135.4,140.6,88933
2020-08-11,136.8,136.8,138.6,133.4,138.6,87371
2020-08-12,134.6,134.6,137.2,134.2,136.6,49859
2020-08-13,142.8,142.8,142.8,134.6,134.6,97674
2020-08-14,140.8,140.8,143.0,139.8,141.4,66188
2020-08-17,149.4,149.4,149.4,139.6,141.0,100256
2020-08-18,153.8,153.8,153.8,146.0,149.4,115674
2020-08-19,159.4,159.4,162.0,152.4,152.4,165285
2020-08-20,154.8,154.8,160.0,152.6,160.0,71438
2020-08-21,155.8,155.8,159.6,149.4,156.8,81171
2020-08-24,159.6,159.6,166.4,158.2,159.0,116414
2020-08-25,157.6,157.6,162.8,155.4,162.2,86655
2020-08-26,161.4,161.4,162.6,156.4,157.4,74462
2020-08-27,157.6,157.6,162.6,156.8,161.8,62820
2020-08-28,160.0,160.0,160.0,152.6,159.0,64031
2020-08-31,159.2,159.2,160.8,155.4,160.6,82418
2020-09-01,157.0,157.0,161.2,155.4,159.6,57203
2020-09-02,147.2,147.2,158.6,146.8,157.8,162355
2020-09-03,130.0,130.0,149.8,130.0,148.4,252692
2020-09-04,122.4,122.4,132.2,120.2,129.4,268934
2020-09-07,130.6,130.6,131.4,123.4,125.4,148037
2020-09-08,128.0,128.0,135.0,117.0,134.2,264782
2020-09-09,130.4,130.4,132.8,122.4,125.0,147669
2020-09-10,130.6,130.6,131.8,126.0,131.8,63239
2020-09-11,127.6,127.6,132.6,127.6,129.0,57835
2020-09-14,130.8,130.8,132.8,128.0,129.0,57836
