Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-05-29,24.54,24.54,26.46,24.48,26.46,118106
2020-06-02,25.99,25.99,26.88,25.2,25.21,65962
2020-06-03,27.2,27.2,27.57,26.16,26.44,147487
2020-06-04,27.26,27.26,27.89,26.57,27.89,42739
2020-06-05,30.46,30.46,30.62,27.8,27.8,393331
2020-06-08,31.3,31.3,31.55,30.47,31.0,256414
2020-06-09,29.89,29.89,31.74,29.35,31.74,228640
2020-06-10,28.99,28.99,30.07,28.42,29.88,71229
2020-06-11,26.53,26.53,28.2,25.96,28.2,100312
2020-06-12,28.37,28.37,28.37,25.99,26.54,97651
2020-06-15,28.7,28.7,29.15,26.2,26.98,169551
2020-06-16,29.49,29.49,29.71,28.72,28.86,174357
2020-06-17,29.0,29.0,29.6,28.7,29.6,30628
2020-06-18,29.06,29.06,29.06,28.48,28.85,32945
2020-06-19,28.04,28.04,28.84,28.04,28.82,57492
2020-06-22,27.4,27.4,28.04,27.4,27.84,42230
2020-06-23,27.43,27.43,28.19,27.43,28.14,9219
2020-06-24,26.6,26.6,27.51,26.33,27.07,55078
2020-06-25,26.56,26.56,26.63,25.93,26.63,27361
2020-06-26,25.9,25.9,26.99,25.83,26.78,37400
2020-06-29,26.54,26.54,26.54,25.22,25.28,23237
2020-06-30,26.78,26.78,26.8,26.4,26.76,25726
2020-07-01,26.5,26.5,27.61,26.33,27.07,98189
2020-07-02,26.55,26.55,27.07,26.55,27.04,17401
2020-07-03,26.74,26.74,26.74,26.39,26.55,16293
2020-07-06,27.04,27.04,27.36,26.86,26.86,15808
2020-07-07,26.61,26.61,26.93,26.42,26.93,4171
2020-07-08,25.7,25.7,26.31,25.7,26.31,9025
2020-07-09,25.59,25.59,26.24,25.49,26.24,18062
2020-07-10,25.42,25.42,25.42,24.96,25.18,57190
2020-07-13,25.56,25.56,26.22,25.56,26.22,7163
2020-07-14,25.22,25.22,25.43,24.78,25.43,42195
2020-07-15,25.0,25.0,25.34,24.77,25.23,147617
2020-07-16,25.04,25.04,25.04,24.87,24.99,5165
2020-07-17,24.69,24.69,25.13,24.69,25.13,13185
2020-07-20,24.61,24.61,24.85,24.55,24.78,26904
2020-07-21,24.95,24.95,25.49,24.66,24.66,26077
2020-07-22,24.96,24.96,24.96,24.38,24.85,12723
2020-07-23,24.43,24.43,24.82,24.43,24.82,29421
2020-07-24,24.17,24.17,24.22,23.89,24.05,39677
2020-07-27,23.63,23.63,24.03,23.47,24.03,16914
2020-07-28,23.61,23.61,23.95,23.47,23.95,23206
2020-07-29,23.82,23.82,23.9,23.43,23.43,7431
2020-07-30,23.45,23.45,23.69,23.24,23.69,10543
2020-07-31,23.28,23.28,23.46,23.25,23.46,16064
2020-08-03,23.03,23.03,23.03,22.5,22.8,64119
2020-08-04,22.77,22.77,23.74,21.9,22.74,51985
2020-08-05,23.74,23.74,23.74,22.75,22.75,54372
2020-08-06,24.12,24.12,24.12,23.55,23.55,3806
2020-08-07,22.9,22.9,23.51,22.66,23.51,31296
2020-08-10,23.69,23.69,23.69,23.2,23.26,23104
2020-08-11,24.89,24.89,24.89,23.95,23.95,42625
2020-08-12,24.5,24.5,25.22,24.5,24.5,38540
2020-08-13,24.26,24.26,24.36,24.0,24.36,46099
2020-08-14,23.59,23.59,23.88,22.92,23.88,52787
2020-08-17,23.25,23.25,23.68,23.25,23.46,20979
2020-08-18,23.03,23.03,23.14,23.03,23.07,10744
2020-08-19,22.42,22.42,23.05,22.42,23.05,17708
2020-08-20,22.3,22.3,22.49,22.3,22.42,6590
2020-08-21,22.23,22.23,22.32,22.0,22.32,23209
2020-08-24,22.75,22.75,22.75,22.24,22.24,12938
2020-08-25,23.1,23.1,23.1,22.66,22.66,6930
2020-08-26,22.51,22.51,22.79,22.49,22.49,33267
2020-08-27,22.27,22.27,22.7,22.09,22.7,28789
2020-08-28,22.34,22.34,22.7,22.27,22.5,25665
2020-08-31,22.62,22.62,22.7,22.5,22.7,43082
2020-09-01,21.73,21.73,22.3,21.62,22.3,33445
2020-09-02,22.07,22.07,22.09,21.6,21.9,39611
2020-09-03,22.65,22.65,23.09,22.15,22.15,24583
2020-09-04,22.84,22.84,23.09,22.4,22.4,21869
2020-09-07,23.37,23.37,23.37,23.06,23.06,19209
2020-09-08,23.0,23.0,23.32,23.0,23.32,3013
2020-09-09,22.78,22.78,23.04,22.78,23.04,2511
2020-09-10,22.7,22.7,22.7,22.25,22.58,3901
2020-09-11,23.27,23.27,23.27,22.54,22.54,3956
